💞老家频道,#genre#
闻喜综合,https://www.wxhcgbds.com:8081/channelTv/WXTV_1.m3u8?zshanxd#https://www.wxhcgbds.com:8081/channelTv/WXTV_1.flv
山西卫视,http://119.39.9.8:9901/tsfile/live/0118_1.m3u8

💞央卫咪咕,#genre#
CCTV-01咪咕,http://go.bkpcp.top/mg/cctv1
CCTV-02咪咕,http://go.bkpcp.top/mg/cctv2
CCTV-03咪咕,http://go.bkpcp.top/mg/cctv3
CCTV-04咪咕,http://go.bkpcp.top/mg/cctv4
CCTV-05咪咕,http://go.bkpcp.top/mg/cctv5
CCTV-5+咪咕,http://go.bkpcp.top/mg/cctv5p
CCTV-06咪咕,http://go.bkpcp.top/mg/cctv6
CCTV-07咪咕,http://go.bkpcp.top/mg/cctv7
CCTV-08咪咕,http://go.bkpcp.top/mg/cctv8
CCTV-09咪咕,http://go.bkpcp.top/mg/cctv9
CCTV-10咪咕,http://go.bkpcp.top/mg/cctv10
CCTV-11咪咕,http://go.bkpcp.top/mg/cctv11
CCTV-12咪咕,http://go.bkpcp.top/mg/cctv12
CCTV-13咪咕,http://go.bkpcp.top/mg/cctv13
CCTV-14咪咕,http://go.bkpcp.top/mg/cctv14
CCTV-15咪咕,http://go.bkpcp.top/mg/cctv15
CCTV-16咪咕,http://go.bkpcp.top/mg/cctv16
CCTV-17咪咕,http://go.bkpcp.top/mg/cctv17
cct4欧洲咪咕,http://go.bkpcp.top/mg/cctv4o
cct4美洲咪咕,http://go.bkpcp.top/mg/cctv4m
CGTN-西咪咕,http://go.bkpcp.top/mg/cgtne
CGTN-阿咪咕,http://go.bkpcp.top/mg/cgtna
CGTN-法咪咕,http://go.bkpcp.top/mg/cgtnf
北京卫视咪咕,http://go.bkpcp.top/mg/bjws
东方卫视咪咕,http://go.bkpcp.top/mg/dfws
浙江卫视咪咕,http://go.bkpcp.top/mg/zjws
江苏卫视咪咕,http://go.bkpcp.top/mg/jsws
湖南卫视咪咕,http://go.bkpcp.top/mg/hunws
广东卫视咪咕,http://go.bkpcp.top/mg/gdws
深圳卫视咪4k,http://go.bkpcp.top/mg/szws
山东卫视咪咕,http://go.bkpcp.top/mg/sdws
河南卫视咪咕,http://go.bkpcp.top/mg/hnws
江西卫视咪咕,http://go.bkpcp.top/mg/jxws
湖北卫视咪咕,http://go.bkpcp.top/mg/hubws
海南卫视咪咕,http://go.bkpcp.top/mg/hinws
陕西卫视咪咕,http://go.bkpcp.top/mg/sxws
兵团卫视咪咕,http://go.bkpcp.top/mg/btws
黑龙江视咪咕,http://go.bkpcp.top/mg/hljws
湖南卫视咪咕,https://migu.188766.xyz/?migutoken=2dd3685b4c9f1c2a5ac16b37e2c03847&id=hnws&type=sz

CCTV-01咪咕,http://rihou.cc:555/tv/[mg]CCTV-01
CCTV-02咪咕,http://rihou.cc:555/tv/[mg]CCTV-02
CCTV-03咪咕,http://rihou.cc:555/tv/[mg]CCTV-03
CCTV-04咪咕,http://rihou.cc:555/tv/[mg]CCTV-04
CCTV-05咪咕,http://rihou.cc:555/tv/[mg]CCTV-05
