📺央视频道,#genre#
CCTV-1,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/00000001000000060000000000000131/1000.m3u8?
CCTV-2,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000003/1000.m3u8?
CCTV-3,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000148/1000.m3u8?
CCTV-4,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000011/1000.m3u8?
CCTV-4 中文国际欧洲,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/00000001000000060000000000000525/1000.m3u8?
CCTV-4 中文国际美洲,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/00000001000000060000000000000526/1000.m3u8?
CCTV-5,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000149/1000.m3u8?
CCTV-5+,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000012/1000.m3u8?
CCTV-6,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000150/1000.m3u8?
CCTV-7,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000008/1000.m3u8?
CCTV-8,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000151/1000.m3u8?
CCTV-9,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000009/1000.m3u8?
CCTV-10,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000059/1000.m3u8?
CCTV-11,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000087/1000.m3u8?
CCTV-12,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000062/1000.m3u8?
CCTV-13,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/00000001000000060000000000000516/1000.m3u8?
CCTV-14,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000064/1000.m3u8?
CCTV-15,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000085/1000.m3u8?
CCTV-16,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000105/1000.m3u8?
CCTV-17,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000208/1000.m3u8?
CCTV-4K超高清,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000189/1000.m3u8?
CCTV-电视指南,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000032/1000.m3u8?
CCTV-央视文化精品,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000030/1000.m3u8?
CCTV-怀旧剧场,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000029/1000.m3u8?
CCTV-风云足球,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000027/1000.m3u8?
CCTV-兵器科技,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000026/1000.m3u8?
CCTV-风云音乐,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000024/1000.m3u8?
CCTV-风云剧场,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000023/1000.m3u8?
CCTV-第一剧场,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000022/1000.m3u8?
CCTV-央视台球,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000212/1000.m3u8?
CCTV-高尔夫网球,http://sxydzteltc.sx.chinamobile.com:6060/040000001000/35100001000000060000000000000162/1000.m3u8?
